115 33186941 204.0
103232800 511805 1062445 207.0
41717299 511805 1062445 207.0
6663100 66157 136535 206.0
2850000 77951 205043 263.0
16654600 511805 1062445 207.0
2183400 66157 136535 206.0
14657500 511805 1062445 207.0
2133300 66157 136535 206.0
26100 41 44 107.0
43800 122 143 117.0
30909785 77947 205039 263.0
29694975 77947 205039 263.0
18920892 511238 1060259 207.0
2815345 77947 205039 263.0
3394325 77947 205039 263.0
23474892 511238 1060259 207.0
21170076 511238 1060259 207.0
32487970 77947 205039 263.0
36731876 77947 205039 263.0
23691567 511238 1060259 207.0
2440205 77947 205039 263.0
4001427 77947 205039 263.0
19348575 511238 1060259 207.0
14419253 511238 1060259 207.0
12986911 77947 205039 263.0
10514856 77947 205039 263.0
15704548 511238 1060259 207.0
9386129 77947 205039 263.0
3594995 77947 205039 263.0
15263013 511238 1060259 207.0
16245526 511238 1060259 207.0
19073200 77951 205043 263.0
56607700 511805 1062445 207.0
3120400 77951 205043 263.0
24261200 511805 1062445 207.0
14641100 77951 205043 263.0
58451600 511805 1062445 207.0
2434100 77951 205043 263.0
18959200 511805 1062445 207.0
16826200 77951 205043 263.0
38030700 511805 1062445 207.0
6955800 77951 205043 263.0
49279300 511805 1062445 207.0
21147000 77951 205043 263.0
42034300 511805 1062445 207.0
3757300 77951 205043 263.0
21769700 511805 1062445 207.0
21988800 77951 205043 263.0
44261900 511805 1062445 207.0
2744300 77951 205043 263.0
27321800 511805 1062445 207.0
20206000 77951 205043 263.0
43427200 511805 1062445 207.0
3022500 77951 205043 263.0
26475200 511805 1062445 207.0
63933924 511238 1060259 207.0
68684524 511238 1060259 207.0
145581789 511238 1060259 207.0
88813693 511238 1060259 207.0
186533197 511238 1060259 207.0
173540579 511238 1060259 207.0
80649647 511238 1060259 207.0
119081222 511238 1060259 207.0
60236994 511238 1060259 207.0
9275457 66086 136382 206.0
14362950 66086 136382 206.0
17012048 66086 136382 206.0
50025816 511238 1060259 207.0
10475008 66086 136382 206.0
57561208 511238 1060259 207.0
46406521 511238 1060259 207.0
9839005 66086 136382 206.0
11476458 66086 136382 206.0
88549002 511238 1060259 207.0
29967784 77947 205039 263.0
90309 121 142 117.0
15418142 66086 136382 206.0
66249221 511238 1060259 207.0
6391715 77947 205039 263.0
14095059 77947 205039 263.0
41110035 511238 1060259 207.0
12503772 66086 136382 206.0
10643769 66086 136382 206.0
13060115 66086 136382 206.0
53863315 511238 1060259 207.0
53590023 511238 1060259 207.0
50513692 511238 1060259 207.0
51857369 511238 1060259 207.0
74087811 511238 1060259 207.0
45186341 511238 1060259 207.0
62109466 511238 1060259 207.0
59565012 511238 1060259 207.0
59179219 511238 1060259 207.0
55707574 511238 1060259 207.0
13785403 77947 205039 263.0
81140200 511805 1062445 207.0
62503300 511805 1062445 207.0
24687700 77951 205043 263.0
8686300 77951 205043 263.0
6368200 77951 205043 263.0
32112500 511805 1062445 207.0
4380900 77951 205043 263.0
22586800 511805 1062445 207.0
38525601 511805 1062445 207.0
32937200 511805 1062445 207.0
3273001 77951 205043 263.0
2188000 77951 205043 263.0
13533701 511805 1062445 207.0
2155900 77951 205043 263.0
13785201 511805 1062445 207.0
2073801 77951 205043 263.0
13512200 511805 1062445 207.0
88939900 511238 1060259 207.0
75952500 511238 1060259 207.0
71985901 511238 1060259 207.0
