584 1753261616 691.0
768961700 120721 237183 196.0
135340800 8362 29416 351.0
4352899500 514728 2332816 453.0
4218170700 514728 2332816 453.0
398612800 53591 237183 442.0
3795853600 514724 2332816 453.0
3172503300 446787 1440015 322.0
3487804800 833934 2332816 279.0
2762034299 309651 1440015 465.0
2703748700 340039 1440015 423.0
2313477200 364017 1440015 395.0
2368731400 383375 1440015 375.0
4654528200 400533 1440015 359.0
2200239699 419439 1440015 343.0
2451046300 446787 1440015 322.0
116552100 5520 29416 532.0
4263541200 150832 2332816 1546.0
4822576801 507848 2332816 459.0
2966238501 83175 1440015 1731.0
2502910901 83175 1440015 1731.0
2742397801 220563 1440015 652.0
2279785401 75503 1440015 1907.0
782972801 15015 237183 1579.0
4997770700 75503 1440015 1907.0
4912179900 216315 1440015 665.0
7790266600 150832 2332816 1546.0
7780885900 507848 2332816 459.0
7745226100 150832 2332816 1546.0
200042300 7552 29416 389.0
293455700 1832 30015 1638.0
3561110500 357362 1440015 402.0
5575794900 481377 2332816 484.0
1261520300 10958 29416 268.0
999684200 7978 29416 368.0
1767451200 9863 29416 298.0
1180846700 8979 29416 327.0
10139212600 39532 237183 599.0
1156970700 13291 237183 1784.0
8990184900 206161 1440015 698.0
317940200 6018 29416 488.0
7745275700 122584 2332816 1903.0
7860191900 232614 2332816 1002.0
10763720800 406016 2332816 574.0
5831527900 179345 1440015 802.0
5927568300 137557 1440015 1046.0
7618782400 195777 1440015 735.0
5729568200 159200 1440015 904.0
6932793600 471437 1440015 305.0
6946193500 349109 1440015 412.0
5904714700 328162 1440015 438.0
8040837800 195777 1440015 735.0
8192603100 195777 1440015 735.0
1843612800 195777 1440015 735.0
2352026100 122584 2332816 1903.0
2784059800 406016 2332816 574.0
2763367500 406016 2332816 574.0
46371712400 4965839 59885585 1205.0
2589714682 406016 2332816 574.0
2517900793 406016 2332816 574.0
2452667501 406016 2332816 574.0
3130551596 406016 2332816 574.0
3417742613 406016 2332816 574.0
2525834202 406016 2332816 574.0
1880741051 406016 2332816 574.0
1649168400 181301 1440015 794.0
3003331300 406016 2332816 574.0
1434320900 201574 1440015 714.0
1496623300 204005 1440015 705.0
1534060600 179345 1440015 802.0
35341200 6018 29416 488.0
1461671700 181301 1440015 794.0
2395284900 406016 2332816 574.0
1351366300 201574 1440015 714.0
1422137400 204005 1440015 705.0
1407438400 179345 1440015 802.0
36008500 6018 29416 488.0
1733861900 181301 1440015 794.0
2558364100 406016 2332816 574.0
1472617400 201574 1440015 714.0
1528669700 204005 1440015 705.0
1494874600 179345 1440015 802.0
35465200 6018 29416 488.0
2810945100 308299 2332816 756.0
2630028300 406016 2332816 574.0
1573973600 181301 1440015 794.0
2027710000 195777 1440015 735.0
1520916600 201574 1440015 714.0
1514095700 203207 1440015 708.0
1145003200 195777 1440015 735.0
1812186200 308299 2332816 756.0
2000426300 406016 2332816 574.0
1174921800 201574 1440015 714.0
1145510100 195777 1440015 735.0
1881740300 308299 2332816 756.0
2020294100 406016 2332816 574.0
1144112700 201574 1440015 714.0
1197565800 204005 1440015 705.0
1124530200 177357 1440015 811.0
1081592900 179345 1440015 802.0
1109766100 182155 1440015 790.0
27088200 6018 29416 488.0
184244000 36263 237183 654.0
1840946400 308299 2332816 756.0
1972518900 406016 2332816 574.0
1191583400 181301 1440015 794.0
1134161000 195777 1440015 735.0
