20 361804196 71.0
515949700 1062445 730576 68.0
42220500 136535 125024 91.0
79000400 205043 163888 79.0
372045200 1062445 730576 68.0
30969800 136535 125024 91.0
240054100 1062445 730576 68.0
21269300 136535 125024 91.0
229528900 205043 163888 79.0
335492500 205043 163888 79.0
1017431200 1062445 730576 68.0
1077669700 1062445 730576 68.0
1524668000 1062445 730576 68.0
106817200 205043 163888 79.0
133154700 205043 163888 79.0
265892300 1062445 730576 68.0
49489200 205043 163888 79.0
280256400 1062445 730576 68.0
74373000 205043 163888 79.0
379863600 1062445 730576 68.0
459938199 1062445 730576 68.0
