57 49496073 172.0
46569400 78908 136382 172.0
111691600 572975 1062445 185.0
10161400 79124 136535 172.0
29884900 109262 205043 187.0
52615600 572975 1062445 185.0
3797200 79124 136535 172.0
44474900 572975 1062445 185.0
4962200 79124 136535 172.0
48222400 572975 1062445 185.0
4174100 79124 136535 172.0
6645700 109262 205043 187.0
46953500 572975 1062445 185.0
4063900 79124 136535 172.0
51336500 572975 1062445 185.0
3886100 79124 136535 172.0
105736300 572975 1062445 185.0
10100700 79124 136535 172.0
8779300 109262 205043 187.0
67434000 572975 1062445 185.0
4194600 79124 136535 172.0
49043700 572975 1062445 185.0
3994300 79124 136535 172.0
42065100 109262 205043 187.0
26193000 109262 205043 187.0
108687800 572975 1062445 185.0
22044500 109262 205043 187.0
123459200 572975 1062445 185.0
15431100 109262 205043 187.0
101939500 572975 1062445 185.0
54913100 109262 205043 187.0
52242000 109262 205043 187.0
105634700 572975 1062445 185.0
9309500 109262 205043 187.0
87750200 572975 1062445 185.0
23004100 109262 205043 187.0
189158000 572975 1062445 185.0
84605300 109262 205043 187.0
57251400 109262 205043 187.0
93980800 572975 1062445 185.0
10277500 109262 205043 187.0
98149900 572975 1062445 185.0
10425300 109262 205043 187.0
101528000 572975 1062445 185.0
33291700 109262 205043 187.0
76690100 572975 1062445 185.0
36953600 109262 205043 187.0
108909700 572975 1062445 185.0
32498700 109262 205043 187.0
83339100 572975 1062445 185.0
53712335 109209 205039 187.0
61869167 109209 205039 187.0
49838327 571982 1060259 185.0
10533946 109209 205039 187.0
10314203 109209 205039 187.0
50484225 571982 1060259 185.0
48663694 571982 1060259 185.0
27405170 78908 136382 172.0
